,parameter,value
0,simulation_path,/Users/Andrew/Documents/Research/University of Victoria Civil Engineering/ROSSpy/examples/other/test_function/rosspy_test-26
1,os,unix
2,root_path,/Users/Andrew/Documents/Research/University of Victoria Civil Engineering/ROSSpy/rosspy
3,water_mw,18.015
4,water_grams_per_liter,997.047021671824
5,simulation_type,transport
6,simulation,scaling
7,quantity_of_modules,1
8,domain,single
9,domain_phase,
10,database_path,/Users/Andrew/Documents/Research/University of Victoria Civil Engineering/ROSSpy/rosspy/databases/pitzer.dat
11,database_selection,pitzer
12,simulation_time,200
13,exchange_factor,10000000000.0
14,simulation_perspective,all_distance
15,module_diameter_mm,201
16,permeate_tube_diameter_mm,29
17,module_length_m,1.016
18,permeate_flow_m3_per_day,40
19,max_feed_flow_m3_per_hour,15.9
20,membrane_thickness_mm,0.00025
21,feed_thickness_mm,0.8636
22,active_m2,37
23,permeate_thickness_mm,0.3
24,polysulfonic_layer_thickness_mm,0.05
25,support_layer_thickness_mm,0.15
26,repeated_membrane_winding_mm,1.5641
27,cells_per_module,12
28,active_m2_cell,3.0833333333333335
29,timestep,3.946329703005324
30,permeate_moles_per_cell,8.426354831443001
31,permeate_approach,linear_permeate
32,water_selection,red_sea
33,solution_elements,"['Mn', 'Fe', 'B', 'Cl', 'Na', 'S(6)', 'Ca', 'K', 'Mg', 'Sr', 'Ba', 'Li', 'Zn', 'Ni', 'Cu', 'Cd', 'Co', 'Pb']"
34,selected_output_file_name,2021-11-11_red_sea_transport_pitzer_scaling_0.txt
35,input_file_name,input.pqi
36,input_path,/Users/Andrew/Documents/Research/University of Victoria Civil Engineering/ROSSpy/examples/other/test_function/rosspy_test-26/input.pqi
37,output_file_name,selected_output.csv
38,output_path,/Users/Andrew/Documents/Research/University of Victoria Civil Engineering/ROSSpy/examples/other/test_function/rosspy_test-26/selected_output.csv
